market_id,market,countryiso3,admin1,admin2,latitude,longitude
7955,Sofya,TZA,Kigoma,Kasulu Township Authority,-4.57,30.1
8313,Zanzibar Islands,TZA,Mjini Magharibi,Mjini,-6.16,39.21
8952,Kibondo Central Market,TZA,Kigoma,Kibondo,-3.59,30.72
8954,Kabwigwa,TZA,Kigoma,Kibondo,-3.59,30.71
9647,Mpimbwe DC,TZA,Katavi,Mlele,-7.1,31.24
9685,Bariadi TC,TZA,Simiyu,Bariadi,-2.8,33.98
9686,Kibaha TC,TZA,Pwani,Kibaha Urban,-6.77,38.98
9760,Ubungo (Mbezi),TZA,Dar-es-salaam,Kinondoni,-6.79,39.11
9761,Mlowo,TZA,Mbeya,Mbozi,-9.01,33
9869,Namfua,TZA,Singida,Singida Urban,-4.83,34.76
10511,Mnadani,TZA,Kigoma,Kasulu Township Authority,-4.55,30.12
10613,Jida,TZA,Mtwara,Masasi,-10.77,39.11
10614,Newala town,TZA,Mtwara,Newala,-10.94,39.27
10615,Mkunya,TZA,Mtwara,Newala,-10.99,39.26
10616,Tandahimba,TZA,Mtwara,Tandahimba,-10.77,39.63
10617,Mahuta,TZA,Mtwara,Tandahimba,-10.88,39.43
10618,Mchichira,TZA,Mtwara,Tandahimba,-10.9,39.54
10619,Kilwa Masoko,TZA,Lindi,Kilwa,-8.93,39.51
10620,Kilwa Kivinje,TZA,Lindi,Kilwa,-8.75,39.41
10621,Somanga,TZA,Lindi,Kilwa,-8.39,39.28
10622,Zain,TZA,Lindi,Liwale,-9.8,37.93
10623,Ruangwa main,TZA,Lindi,Ruangwa,-10.06,38.93
10624,Mkuti,TZA,Mtwara,Masasi,-10.72,39.11
10625,Matogolo,TZA,Mtwara,Tandahimba,-10.75,39.63
10626,Liwale (Bus Stand),TZA,Lindi,Liwale,-9.8,37.92
10627,Soko jipya,TZA,Lindi,Ruangwa,-10.08,38.94
10634,Chuno,TZA,Mtwara,Mtwara Urban,-10.28,40.17
11321,Heru Ushingo,TZA,Kigoma,Kasulu,-4.19,30.24
11322,Nyarugusu Village,TZA,Kigoma,Kasulu,-4.18,30.32
11323,Mvugwe,TZA,Kigoma,Kasulu,-4.2,30.49
11324,Makere,TZA,Kigoma,Kasulu,-4.28,30.43
11325,Kitagata,TZA,Kigoma,Kasulu,-4.37,30.38
11326,Kitahana,TZA,Kigoma,Kibondo,-3.64,30.68
11327,Nazareth,TZA,Kigoma,Kigoma Municipal-Ujiji,-4.88,29.65
11328,Nyamidaho,TZA,Kigoma,Kasulu,-4.23,30.47
11329,Nyachenda,TZA,Kigoma,Kasulu,-4.39,30.35
